filepath,annotation,timestamp,height,width
"IMAGE AND CPCE FILE/SHINE-1801_USS Guardian, Tubbataha, Cagayancillo/Q2/AA_DSC00181_20240501_135736_0.JPG",AA,20240501_135736,500,500
"IMAGE AND CPCE FILE/SHINE-1801_USS Guardian, Tubbataha, Cagayancillo/Q2/AA_DSC00181_20240501_135736_1.JPG",AA,20240501_135736,500,500
"IMAGE AND CPCE FILE/SHINE-1801_USS Guardian, Tubbataha, Cagayancillo/Q2/FAV_DSC00181_20240501_135736_2.JPG",FAV,20240501_135736,500,500
"IMAGE AND CPCE FILE/SHINE-1801_USS Guardian, Tubbataha, Cagayancillo/Q2/AA_DSC00181_20240501_135736_3.JPG",AA,20240501_135736,500,500
"IMAGE AND CPCE FILE/SHINE-1801_USS Guardian, Tubbataha, Cagayancillo/Q2/SP_DSC00181_20240501_135736_4.JPG",SP,20240501_135736,500,500
"IMAGE AND CPCE FILE/SHINE-1801_USS Guardian, Tubbataha, Cagayancillo/Q2/FVI_DSC00181_20240501_135736_5.JPG",FVI,20240501_135736,500,500
"IMAGE AND CPCE FILE/SHINE-1801_USS Guardian, Tubbataha, Cagayancillo/Q2/SP_DSC00181_20240501_135736_6.JPG",SP,20240501_135736,500,500
"IMAGE AND CPCE FILE/SHINE-1801_USS Guardian, Tubbataha, Cagayancillo/Q2/AA_DSC00181_20240501_135736_7.JPG",AA,20240501_135736,500,500
"IMAGE AND CPCE FILE/SHINE-1801_USS Guardian, Tubbataha, Cagayancillo/Q2/AA_DSC00181_20240501_135736_8.JPG",AA,20240501_135736,324,500
"IMAGE AND CPCE FILE/SHINE-1801_USS Guardian, Tubbataha, Cagayancillo/Q2/AA_DSC00181_20240501_135736_9.JPG",AA,20240501_135736,500,500
"IMAGE AND CPCE FILE/SHINE-1801_USS Guardian, Tubbataha, Cagayancillo/Q2/AA_DSC00275_20240501_140105_0.JPG",AA,20240501_140105,500,500
"IMAGE AND CPCE FILE/SHINE-1801_USS Guardian, Tubbataha, Cagayancillo/Q2/AA_DSC00275_20240501_140105_1.JPG",AA,20240501_140105,500,500
"IMAGE AND CPCE FILE/SHINE-1801_USS Guardian, Tubbataha, Cagayancillo/Q2/POC_DSC00275_20240501_140105_2.JPG",POC,20240501_140105,300,500
"IMAGE AND CPCE FILE/SHINE-1801_USS Guardian, Tubbataha, Cagayancillo/Q2/POC_DSC00275_20240501_140105_3.JPG",POC,20240501_140105,500,500
"IMAGE AND CPCE FILE/SHINE-1801_USS Guardian, Tubbataha, Cagayancillo/Q2/AA_DSC00275_20240501_140105_4.JPG",AA,20240501_140105,500,500
"IMAGE AND CPCE FILE/SHINE-1801_USS Guardian, Tubbataha, Cagayancillo/Q2/AA_DSC00275_20240501_140105_5.JPG",AA,20240501_140105,500,500
"IMAGE AND CPCE FILE/SHINE-1801_USS Guardian, Tubbataha, Cagayancillo/Q2/AA_DSC00275_20240501_140105_6.JPG",AA,20240501_140105,500,500
